S.No.,Question,Difficulty,Answers
159,What is 74 * 15?,Hard,1110
160,What is 7 squared?,Easy,49
161,What is 52 squared?,Hard,2704
162,What is 99 + 80?,Hard,179
163,What is the square root of 24?,Easy,Not a perfect square
164,What is 82 squared?,Hard,6724
165,What is the square root of 42?,Easy,Not a perfect square
166,What is 43 * 50?,Hard,2150
167,What is 26 squared?,Medium,676
168,What is 87 squared?,Hard,7569
169,What is 32 - 62?,Hard,-30
170,What is 56 - 19?,Easy,37
171,What is 81 - 53?,Medium,28
172,What is 22 squared?,Easy,484
173,What is 30 + 73?,Hard,103
174,What is 77 squared?,Medium,5929
175,What is 43 squared?,Hard,1849
176,What is 60 * 98?,Hard,5880
177,What is the square root of 25?,Easy,5
178,What is 47 squared?,Hard,2209
179,What is 53 squared?,Easy,2809
180,What is 57 + 4?,Hard,61
181,What is 13 + 66?,Hard,79
182,What is 19 + 15?,Hard,34
183,What is 11 + 93?,Medium,104
184,What is the square root of 80?,Hard,Not a perfect square
185,What is 21 - 60?,Easy,-39
186,What is 4 + 26?,Easy,30
187,What is 88 + 87?,Hard,175
188,What is 53 - 52?,Hard,1
189,What is 5 - 22?,Hard,-17
190,What is 94 * 44?,Hard,4136
191,What is the square root of 93?,Medium,Not a perfect square
192,What is 71 squared?,Hard,5041
193,What is 52 squared?,Easy,2704
194,What is the square root of 98?,Hard,Not a perfect square
195,What is 73 - 70?,Hard,3
196,What is 65 squared?,Easy,4225
197,What is the square root of 73?,Medium,Not a perfect square
198,What is 89 squared?,Medium,7921
199,What is the square root of 68?,Medium,Not a perfect square
200,What is 14 * 62?,Medium,868
201,What is 76 * 19?,Medium,1444
202,What is the square root of 19?,Medium,Not a perfect square
203,What is 31 squared?,Medium,961
204,What is the square root of 56?,Easy,Not a perfect square
205,What is the square root of 61?,Medium,Not a perfect square
206,What is 24 squared?,Easy,576
207,What is 19 + 63?,Easy,82
208,What is the square root of 80?,Medium,Not a perfect square
209,What is 73 - 77?,Medium,-4
210,What is 59 - 53?,Medium,6
211,What is 34 squared?,Easy,1156
212,What is 69 - 64?,Hard,5
213,What is 78 squared?,Medium,6084
214,What is 79 + 98?,Easy,177
215,What is 19 - 87?,Medium,-68
216,What is 79 squared?,Hard,6241
217,What is the square root of 10?,Hard,Not a perfect square
218,What is the square root of 7?,Medium,Not a perfect square
219,What is 58 squared?,Easy,3364
220,What is the square root of 58?,Medium,Not a perfect square
221,What is 94 - 13?,Medium,81
222,What is 21 squared?,Easy,441
223,What is 79 * 18?,Easy,1422
224,What is 85 + 80?,Easy,165
225,What is 73 + 15?,Easy,88
226,What is 37 squared?,Easy,1369
227,What is 55 + 62?,Easy,117
228,What is the square root of 9?,Medium,3
229,What is 13 squared?,Easy,169
230,What is 99 squared?,Easy,9801
231,What is 68 - 47?,Easy,21
232,What is 17 + 41?,Easy,58
233,What is 36 + 68?,Medium,104
234,What is 46 squared?,Medium,2116
235,What is the square root of 67?,Medium,Not a perfect square
236,What is the square root of 93?,Hard,Not a perfect square
237,What is 54 + 90?,Easy,144
238,What is 66 squared?,Easy,4356
239,What is 96 + 75?,Hard,171
240,What is 31 squared?,Hard,961
241,What is 57 + 6?,Hard,63
242,What is 85 * 13?,Hard,1105
243,What is 48 + 99?,Hard,147
244,What is 61 + 52?,Hard,113
245,What is the square root of 47?,Hard,Not a perfect square
246,What is 90 squared?,Easy,8100
247,What is the square root of 9?,Hard,3
248,What is 81 + 17?,Hard,98
249,What is 80 squared?,Medium,6400
250,What is 41 squared?,Hard,1681
251,What is 1 squared?,Easy,1
252,What is 46 squared?,Easy,2116
253,What is 43 squared?,Easy,1849
254,What is the square root of 70?,Easy,Not a perfect square
255,What is 73 + 35?,Hard,108
256,What is 78 * 85?,Medium,6630
257,What is 96 + 10?,Hard,106
258,What is 3 + 29?,Medium,32
259,What is the square root of 56?,Medium,Not a perfect square
260,What is the square root of 56?,Easy,Not a perfect square
261,What is 64 - 61?,Hard,3
262,What is 80 * 71?,Easy,5680
263,What is 73 squared?,Easy,5329
264,What is 40 - 4?,Medium,36
265,What is 86 - 22?,Hard,64
266,What is the square root of 8?,Easy,Not a perfect square
267,What is 14 squared?,Easy,196
268,What is 84 * 36?,Hard,3024
269,What is 9 squared?,Medium,81
270,What is the square root of 49?,Medium,7
271,What is 50 squared?,Medium,2500
272,What is 50 squared?,Medium,2500
273,What is the square root of 82?,Hard,Not a perfect square
274,What is 41 squared?,Easy,1681
275,What is 60 * 28?,Medium,1680
276,What is 20 squared?,Hard,400
277,What is 48 - 8?,Hard,40
278,What is 27 * 79?,Easy,2133
279,What is the square root of 24?,Easy,Not a perfect square
280,What is 71 - 5?,Hard,66
281,What is 26 squared?,Hard,676
282,What is the square root of 13?,Hard,Not a perfect square
283,What is 31 * 37?,Easy,1147
284,What is 43 * 33?,Easy,1419
285,What is the square root of 77?,Hard,Not a perfect square
286,What is 90 + 77?,Medium,167
287,What is 84 - 18?,Hard,66
288,What is 67 + 57?,Easy,124
289,What is 16 + 83?,Medium,99
290,What is 51 * 9?,Hard,459
291,What is 36 + 72?,Easy,108
292,What is 38 + 67?,Hard,105
293,What is 86 * 90?,Easy,7740
294,What is 98 - 79?,Medium,19
295,What is 41 squared?,Easy,1681
296,What is 33 * 8?,Hard,264
297,What is 36 squared?,Hard,1296
298,What is the square root of 56?,Easy,Not a perfect square
299,What is 67 * 30?,Hard,2010
300,What is the square root of 45?,Easy,Not a perfect square
301,What is 1 * 89?,Hard,89
302,What is 16 squared?,Medium,256
303,What is 14 * 6?,Easy,84
304,What is the square root of 38?,Easy,Not a perfect square
305,What is 33 * 63?,Hard,2079
306,What is the square root of 69?,Easy,Not a perfect square
307,What is 57 squared?,Hard,3249
308,What is 93 + 20?,Hard,113
309,What is 6 squared?,Hard,36
310,What is 6 squared?,Hard,36
311,What is the square root of 34?,Hard,Not a perfect square
312,What is 50 + 56?,Medium,106
313,What is 87 squared?,Medium,7569
314,What is the square root of 8?,Hard,Not a perfect square
315,What is 29 * 83?,Medium,2407
316,What is the square root of 23?,Hard,Not a perfect square
317,What is the square root of 22?,Medium,Not a perfect square
318,What is 70 * 36?,Medium,2520
319,What is 4 squared?,Medium,16
320,What is 24 squared?,Medium,576
321,What is 60 * 56?,Medium,3360
322,What is the square root of 87?,Easy,Not a perfect square
323,What is 83 + 67?,Hard,150
324,What is 89 + 12?,Easy,101
325,What is the square root of 34?,Medium,Not a perfect square
326,What is 30 - 65?,Hard,-35
327,What is 9 + 33?,Easy,42
328,What is 83 squared?,Medium,6889
329,What is the square root of 47?,Hard,Not a perfect square
330,What is 93 + 87?,Medium,180
331,What is 62 - 49?,Easy,13
332,What is the square root of 76?,Medium,Not a perfect square
333,What is 36 - 37?,Hard,-1
334,What is 54 squared?,Medium,2916
335,What is 88 * 98?,Easy,8624
336,What is 91 + 74?,Easy,165
337,What is 69 - 41?,Medium,28
338,What is 13 * 57?,Medium,741
339,What is 87 - 56?,Easy,31
340,What is 21 * 59?,Medium,1239
341,What is 84 + 45?,Easy,129
342,What is 66 squared?,Hard,4356
343,What is 88 + 72?,Easy,160
344,What is 23 * 99?,Medium,2277
345,What is 100 squared?,Medium,10000
346,What is 39 * 91?,Easy,3549
347,What is 22 squared?,Easy,484
348,What is 96 squared?,Hard,9216
349,What is the square root of 58?,Easy,Not a perfect square
350,What is the square root of 17?,Easy,Not a perfect square
351,What is 1 - 56?,Easy,-55
352,What is 96 - 53?,Medium,43
353,What is 56 * 67?,Easy,3752
354,What is the square root of 58?,Hard,Not a perfect square
355,What is 32 squared?,Medium,1024
356,What is 86 squared?,Easy,7396
357,What is 58 + 60?,Easy,118
358,What is 9 - 83?,Easy,-74
359,What is 77 - 17?,Easy,60
360,What is the square root of 22?,Hard,Not a perfect square
361,What is 18 squared?,Medium,324
362,What is the square root of 94?,Easy,Not a perfect square
363,What is 33 + 91?,Easy,124
364,What is 31 * 55?,Medium,1705
365,What is the square root of 3?,Hard,Not a perfect square
366,What is 96 squared?,Easy,9216
367,What is 4 squared?,Easy,16
368,What is 94 - 97?,Medium,-3
369,What is 50 - 65?,Medium,-15
370,What is 11 * 11?,Hard,121
371,What is 67 - 57?,Medium,10
372,What is 29 - 36?,Hard,-7
373,What is 14 + 66?,Hard,80
374,What is 92 + 97?,Medium,189
375,What is 50 - 67?,Easy,-17
376,What is the square root of 34?,Hard,Not a perfect square
377,What is 2 + 44?,Hard,46
378,What is 69 + 23?,Easy,92
379,What is the square root of 96?,Hard,Not a perfect square
380,What is 49 - 17?,Hard,32
381,What is 93 squared?,Hard,8649
382,What is 2 + 30?,Hard,32
383,What is the square root of 97?,Hard,Not a perfect square
384,What is 56 + 44?,Medium,100
385,What is 31 squared?,Medium,961
386,What is 45 squared?,Easy,2025
387,What is the square root of 36?,Hard,6
388,What is 93 - 69?,Medium,24
389,What is 98 - 18?,Easy,80
390,What is 80 - 49?,Hard,31
391,What is 23 - 39?,Easy,-16
392,What is the square root of 91?,Easy,Not a perfect square
393,What is 72 - 58?,Hard,14
394,What is the square root of 68?,Hard,Not a perfect square
395,What is 25 squared?,Hard,625
396,What is the square root of 40?,Medium,Not a perfect square
397,What is 12 squared?,Hard,144
398,What is 52 * 77?,Hard,4004
399,What is the square root of 41?,Easy,Not a perfect square
400,What is 40 squared?,Easy,1600
401,What is 26 + 20?,Hard,46
402,What is 51 + 26?,Hard,77
403,What is 10 - 35?,Hard,-25
404,What is the square root of 42?,Easy,Not a perfect square
405,What is 42 * 73?,Medium,3066
406,What is 82 + 58?,Easy,140
407,What is 38 + 65?,Medium,103
408,What is 29 + 83?,Easy,112
409,What is 60 squared?,Hard,3600
410,What is 72 squared?,Medium,5184
411,What is 27 - 60?,Hard,-33
412,What is 53 * 15?,Medium,795
413,What is the square root of 41?,Easy,Not a perfect square
414,What is the square root of 47?,Medium,Not a perfect square
415,What is 73 squared?,Hard,5329
416,What is 23 + 94?,Hard,117
417,What is 90 * 24?,Hard,2160
418,What is 45 + 52?,Medium,97
419,What is 12 squared?,Easy,144
420,What is the square root of 58?,Hard,Not a perfect square
421,What is 100 squared?,Easy,10000
422,What is 77 * 45?,Medium,3465
423,What is 24 squared?,Easy,576
424,What is the square root of 66?,Hard,Not a perfect square
425,What is 88 squared?,Easy,7744
426,What is 11 + 28?,Medium,39
427,What is 95 * 72?,Medium,6840
428,What is 72 squared?,Hard,5184
429,What is the square root of 53?,Hard,Not a perfect square
430,What is 1 * 77?,Medium,77
431,What is 33 + 67?,Easy,100
432,What is 56 squared?,Hard,3136
433,What is 93 + 89?,Hard,182
434,What is 67 + 34?,Hard,101
435,What is 18 * 35?,Hard,630
436,What is 100 + 97?,Hard,197
437,What is 1 * 29?,Hard,29
438,What is 51 * 13?,Hard,663
439,What is 69 squared?,Hard,4761
440,What is 1 - 7?,Medium,-6
441,What is 16 * 94?,Medium,1504
442,What is 54 - 41?,Hard,13
443,What is 50 squared?,Easy,2500
444,What is 94 - 45?,Medium,49
445,What is the square root of 78?,Easy,Not a perfect square
446,What is the square root of 91?,Hard,Not a perfect square
447,What is 34 squared?,Hard,1156
448,What is the square root of 51?,Hard,Not a perfect square
449,What is 86 + 91?,Hard,177
450,What is 99 + 81?,Medium,180
451,What is 73 squared?,Medium,5329
452,What is 51 * 10?,Hard,510
453,What is 20 - 60?,Hard,-40
454,What is 70 - 17?,Medium,53
455,What is the square root of 82?,Medium,Not a perfect square
456,What is 3 - 80?,Hard,-77
457,What is 38 * 97?,Medium,3686
458,What is 77 * 67?,Hard,5159
459,What is 34 * 15?,Easy,510
460,What is 92 squared?,Medium,8464
461,What is 33 * 69?,Easy,2277
462,What is 57 squared?,Hard,3249
463,What is 88 * 78?,Easy,6864
464,What is the square root of 22?,Hard,Not a perfect square
465,What is 65 * 52?,Hard,3380
466,What is 20 - 43?,Hard,-23
467,What is 56 * 65?,Medium,3640
468,What is 23 + 96?,Easy,119
469,What is 99 + 26?,Medium,125
470,What is 39 - 99?,Hard,-60
471,What is the square root of 53?,Medium,Not a perfect square
472,What is 32 squared?,Easy,1024
473,What is the square root of 100?,Easy,10
474,What is 24 - 78?,Easy,-54
475,What is 53 squared?,Easy,2809
476,What is 76 - 91?,Medium,-15
477,What is the square root of 23?,Medium,Not a perfect square
478,What is 8 squared?,Easy,64
479,What is 43 squared?,Medium,1849
480,What is 14 squared?,Medium,196
481,What is the square root of 14?,Medium,Not a perfect square
482,What is the square root of 90?,Easy,Not a perfect square
483,What is 71 - 45?,Hard,26
484,What is 35 * 80?,Medium,2800
485,What is 3 - 18?,Easy,-15
486,What is the square root of 19?,Hard,Not a perfect square
487,What is 15 squared?,Medium,225
488,What is 62 + 39?,Hard,101
489,What is 45 squared?,Medium,2025
490,What is 60 + 46?,Hard,106
491,What is 89 + 96?,Hard,185
492,What is the square root of 58?,Hard,Not a perfect square
493,What is 93 + 5?,Hard,98
494,What is 67 squared?,Hard,4489
495,What is the square root of 79?,Medium,Not a perfect square
496,What is 35 * 16?,Medium,560
497,What is 56 * 33?,Easy,1848
498,What is the square root of 86?,Easy,Not a perfect square
499,What is 49 - 84?,Easy,-35
500,What is 67 squared?,Medium,4489
501,What is the square root of 44?,Hard,Not a perfect square
502,What is 13 * 87?,Hard,1131
503,What is 21 * 14?,Easy,294
504,What is 2 + 1?,Medium,3
505,What is 3 + 60?,Hard,63
506,What is 82 - 56?,Medium,26
507,What is 21 squared?,Hard,441
508,What is 68 squared?,Easy,4624
509,What is 54 * 1?,Hard,54
510,What is the square root of 58?,Hard,Not a perfect square
511,What is 74 squared?,Medium,5476
512,What is the square root of 19?,Easy,Not a perfect square
513,What is 40 * 36?,Medium,1440
514,What is the square root of 45?,Hard,Not a perfect square
515,What is 57 * 29?,Easy,1653
516,What is 46 * 40?,Hard,1840
517,What is the square root of 2?,Medium,Not a perfect square
518,What is the square root of 47?,Medium,Not a perfect square
519,What is 54 + 4?,Medium,58
520,What is 21 - 71?,Hard,-50
521,What is 95 + 59?,Hard,154
522,What is 63 * 37?,Easy,2331
523,What is 75 * 61?,Hard,4575
524,What is the square root of 43?,Easy,Not a perfect square
525,What is 95 + 22?,Medium,117
526,What is the square root of 15?,Easy,Not a perfect square
527,What is 53 - 24?,Medium,29
528,What is 42 - 77?,Medium,-35
529,What is 30 * 19?,Hard,570
530,What is the square root of 35?,Medium,Not a perfect square
531,What is the square root of 67?,Easy,Not a perfect square
532,What is 55 + 54?,Medium,109
533,What is 18 squared?,Medium,324
534,What is 3 squared?,Medium,9
535,What is 80 * 88?,Easy,7040
536,What is the square root of 29?,Easy,Not a perfect square
537,What is 46 - 73?,Medium,-27
538,What is 33 - 64?,Medium,-31
539,What is 28 squared?,Medium,784
540,What is 52 squared?,Easy,2704
541,What is 13 - 92?,Medium,-79
542,What is 45 + 71?,Hard,116
543,What is 27 - 16?,Hard,11
544,What is the square root of 92?,Medium,Not a perfect square
545,What is 53 squared?,Medium,2809
546,What is 80 * 67?,Hard,5360
547,What is 60 * 21?,Hard,1260
548,What is 15 * 22?,Medium,330
549,What is 32 squared?,Medium,1024
550,What is 100 + 59?,Medium,159
551,What is 2 - 35?,Hard,-33
552,What is the square root of 35?,Easy,Not a perfect square
553,What is 89 * 23?,Hard,2047
554,What is 5 * 5?,Hard,25
555,What is the square root of 40?,Hard,Not a perfect square
556,What is 86 - 70?,Medium,16
557,What is 75 squared?,Medium,5625
558,What is 53 + 97?,Hard,150
559,What is 87 - 78?,Medium,9
560,What is 29 - 18?,Hard,11
561,What is 53 squared?,Hard,2809
562,What is 82 + 28?,Hard,110
563,What is 88 + 46?,Medium,134
564,What is the square root of 56?,Medium,Not a perfect square
565,What is 54 squared?,Easy,2916
566,What is 75 squared?,Easy,5625
567,What is 62 * 56?,Hard,3472
568,What is 22 + 92?,Easy,114
569,What is 64 * 90?,Medium,5760
570,What is 95 - 98?,Easy,-3
571,What is 94 + 51?,Medium,145
572,What is 73 squared?,Hard,5329
573,What is 2 * 84?,Easy,168
574,What is 20 + 62?,Hard,82
575,What is 79 squared?,Easy,6241
576,What is 65 * 98?,Hard,6370
577,What is 54 squared?,Medium,2916
578,What is 38 squared?,Easy,1444
579,What is 83 + 98?,Hard,181
580,What is 6 - 71?,Hard,-65
581,What is the square root of 32?,Hard,Not a perfect square
582,What is 70 - 86?,Medium,-16
583,What is 24 * 83?,Hard,1992
584,What is 93 squared?,Easy,8649
585,What is 32 squared?,Medium,1024
586,What is 48 + 1?,Easy,49
587,What is the square root of 2?,Medium,Not a perfect square
588,What is the square root of 22?,Medium,Not a perfect square
589,What is 23 squared?,Hard,529
590,What is the square root of 98?,Medium,Not a perfect square
591,What is the square root of 44?,Hard,Not a perfect square
592,What is the square root of 21?,Easy,Not a perfect square
593,What is 94 * 15?,Medium,1410
594,What is the square root of 63?,Hard,Not a perfect square
595,What is 39 + 68?,Hard,107
596,What is 30 squared?,Hard,900
597,What is 40 * 45?,Hard,1800
598,What is 12 squared?,Hard,144
599,What is 53 * 11?,Easy,583
600,What is 26 * 78?,Easy,2028
601,What is 29 - 96?,Easy,-67
602,What is 75 squared?,Medium,5625
603,What is 100 squared?,Easy,10000
604,What is 53 squared?,Medium,2809
605,What is the square root of 76?,Medium,Not a perfect square
606,What is 36 + 63?,Hard,99
607,What is 91 + 13?,Easy,104
608,What is 32 - 26?,Medium,6
609,What is 7 squared?,Hard,49
610,What is 33 - 66?,Hard,-33
611,What is 21 + 3?,Easy,24
612,What is 88 squared?,Easy,7744
613,What is 17 - 81?,Medium,-64
614,What is 91 * 52?,Easy,4732
615,What is the square root of 36?,Medium,6
616,What is 19 - 30?,Medium,-11
617,What is 82 - 80?,Easy,2
618,What is 56 - 58?,Easy,-2
619,What is 33 squared?,Easy,1089
620,What is 40 * 73?,Medium,2920
621,What is 30 - 19?,Easy,11
622,What is 38 squared?,Hard,1444
623,What is 79 * 23?,Hard,1817
624,What is 99 + 95?,Easy,194
625,What is 47 - 36?,Medium,11
626,What is 37 * 51?,Hard,1887
627,What is 75 * 64?,Medium,4800
628,What is 20 * 71?,Easy,1420
629,What is the square root of 53?,Hard,Not a perfect square
630,What is 4 - 10?,Hard,-6
631,What is 19 squared?,Medium,361
632,What is 67 squared?,Easy,4489
633,What is the square root of 58?,Easy,Not a perfect square
634,What is the square root of 83?,Hard,Not a perfect square
635,What is 53 + 54?,Easy,107
636,What is the square root of 4?,Easy,2
637,What is 11 * 6?,Easy,66
638,What is 58 - 33?,Hard,25
639,What is 23 - 8?,Hard,15
640,What is 5 * 42?,Hard,210
641,What is 96 + 59?,Hard,155
642,What is 69 * 71?,Medium,4899
643,What is 67 - 79?,Easy,-12
644,What is 67 + 93?,Medium,160
645,What is 71 + 30?,Medium,101
646,What is 46 squared?,Hard,2116
647,What is 28 * 46?,Easy,1288
648,What is 4 squared?,Hard,16
649,What is 29 squared?,Medium,841
650,What is 12 - 22?,Hard,-10
651,What is 6 * 66?,Easy,396
652,What is 49 - 9?,Easy,40
653,What is the square root of 85?,Medium,Not a perfect square
654,What is 7 - 52?,Easy,-45
655,What is 89 + 35?,Medium,124
656,What is 100 * 77?,Medium,7700
657,What is 6 * 8?,Medium,48
658,What is the square root of 18?,Easy,Not a perfect square
659,What is 100 - 13?,Hard,87
660,What is 92 + 73?,Medium,165
661,What is 84 * 53?,Medium,4452
662,What is the square root of 86?,Hard,Not a perfect square
663,What is 10 + 91?,Hard,101
664,What is 91 + 74?,Easy,165
665,What is 97 squared?,Hard,9409
666,What is 57 + 42?,Easy,99
667,What is the square root of 88?,Hard,Not a perfect square
668,What is 20 * 95?,Medium,1900
669,What is 34 + 73?,Medium,107
670,What is the square root of 20?,Easy,Not a perfect square
671,What is 44 - 32?,Easy,12
672,What is 73 + 28?,Hard,101
673,What is 9 * 56?,Hard,504
674,What is 25 * 31?,Hard,775
675,What is 57 - 50?,Hard,7
676,What is 30 + 31?,Hard,61
677,What is 60 squared?,Hard,3600
678,What is 26 + 67?,Medium,93
679,What is the square root of 82?,Easy,Not a perfect square
680,What is the square root of 35?,Hard,Not a perfect square
681,What is 40 - 98?,Easy,-58
682,What is 56 - 79?,Easy,-23
683,What is 54 + 100?,Easy,154
684,What is 98 - 89?,Easy,9
685,What is the square root of 6?,Hard,Not a perfect square
686,What is 69 squared?,Easy,4761
687,What is 96 squared?,Medium,9216
688,What is 88 * 98?,Medium,8624
689,What is the square root of 89?,Hard,Not a perfect square
690,What is 14 * 90?,Easy,1260
691,What is 7 - 41?,Easy,-34
692,What is 33 * 57?,Medium,1881
693,What is 8 * 1?,Hard,8
694,What is 46 + 59?,Medium,105
695,What is the square root of 8?,Easy,Not a perfect square
696,What is 40 squared?,Easy,1600
697,What is 59 squared?,Hard,3481
698,What is the square root of 69?,Medium,Not a perfect square
699,What is the square root of 16?,Easy,4
700,What is 23 * 61?,Easy,1403
701,What is 70 squared?,Easy,4900
702,What is the square root of 22?,Medium,Not a perfect square
703,What is 80 + 85?,Easy,165
704,What is 91 squared?,Easy,8281
705,What is the square root of 46?,Easy,Not a perfect square
706,What is 40 + 27?,Easy,67
707,What is 25 * 86?,Easy,2150
708,What is the square root of 89?,Easy,Not a perfect square
709,What is 73 - 52?,Easy,21
710,What is 54 + 78?,Medium,132
711,What is the square root of 71?,Easy,Not a perfect square
712,What is 70 - 43?,Hard,27
713,What is 4 + 76?,Easy,80
714,What is 94 + 63?,Easy,157
715,What is 41 + 9?,Easy,50
716,What is the square root of 56?,Medium,Not a perfect square
717,What is 26 * 62?,Hard,1612
718,What is 21 - 59?,Easy,-38
719,What is 97 * 2?,Hard,194
720,What is the square root of 83?,Medium,Not a perfect square
721,What is 100 * 4?,Easy,400
722,What is 94 squared?,Easy,8836
723,What is 52 + 58?,Medium,110
724,What is 2 - 72?,Medium,-70
